trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.4, 'e': 0.8562357248914901}",20,0,-78.12620807217334,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
183,False,"{'a': 0.4, 'e': 0.8553858478830524}",20,0,-172.35457400710544,"{0: 7, 1: 2, 2: 7, 3: 3, 4: 1}",0
184,False,"{'a': 0.4, 'e': 0.8545352479692611}",25,0,-77.45279100898485,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
185,False,"{'a': 0.4, 'e': 0.8536839239192624}",20,3,-81.78194113661702,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
186,False,"{'a': 0.4, 'e': 0.8528318744990566}",25,0,-33.476503618495016,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
187,False,"{'a': 0.4, 'e': 0.8519790984714871}",35,3,-131.42996388550526,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 2}",1
188,False,"{'a': 0.4, 'e': 0.8511255945962292}",20,0,-102.16134129346247,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
189,False,"{'a': 0.4, 'e': 0.8502713616297798}",20,0,-43.87040170777133,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
190,False,"{'a': 0.4, 'e': 0.8494163983254462}",30,0,-84.59879843905257,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
191,False,"{'a': 0.4, 'e': 0.8485607034333356}",25,0,-124.22421403693585,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
192,False,"{'a': 0.4, 'e': 0.8477042757003437}",20,6,7.57473307000778,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.4, 'e': 0.8468471138701437}",20,0,-98.15210034243972,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
194,False,"{'a': 0.4, 'e': 0.8459892166831758}",20,0,-31.88715731938957,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
195,False,"{'a': 0.4, 'e': 0.8451305828766354}",20,0,-158.0704502435582,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
196,False,"{'a': 0.4, 'e': 0.8442712111844625}",35,23,-10.857836338155836,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.4, 'e': 0.8434111003373298}",20,0,-144.21924020131422,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
198,False,"{'a': 0.4, 'e': 0.8425502490626322}",20,0,-55.46766648437414,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
199,False,"{'a': 0.4, 'e': 0.8416886560844753}",25,0,-201.87334562573042,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
200,False,"{'a': 0.4, 'e': 0.8408263201236638}",20,10,-26.37021912164905,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
201,False,"{'a': 0.4, 'e': 0.8399632398976902}",30,15,-72.65853963941004,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
202,False,"{'a': 0.4, 'e': 0.8390994141207234}",20,0,-61.144241861578635,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
203,False,"{'a': 0.4, 'e': 0.8382348415035975}",20,0,-33.65216049859239,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
204,False,"{'a': 0.4, 'e': 0.8373695207537997}",20,0,-72.4687595945467,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
205,False,"{'a': 0.4, 'e': 0.8365034505754588}",20,9,-55.97113895031908,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
206,False,"{'a': 0.4, 'e': 0.8356366296693343}",20,0,-132.73933061789887,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
207,False,"{'a': 0.4, 'e': 0.8347690567328037}",20,11,-11.896433542317473,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
208,False,"{'a': 0.4, 'e': 0.8339007304598512}",30,22,-39.54104400282175,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
209,False,"{'a': 0.4, 'e': 0.8330316495410564}",20,0,-54.32575285558628,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
210,False,"{'a': 0.4, 'e': 0.832161812663581}",25,0,-134.7702121077114,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
211,False,"{'a': 0.4, 'e': 0.831291218511159}",20,0,-103.67207831623774,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
212,False,"{'a': 0.4, 'e': 0.8304198657640824}",20,0,-65.86205258537312,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
213,False,"{'a': 0.4, 'e': 0.8295477530991915}",25,0,-31.673926572212665,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
214,False,"{'a': 0.4, 'e': 0.8286748791898612}",20,0,-168.66057422659134,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
215,False,"{'a': 0.4, 'e': 0.8278012427059893}",20,0,-30.327289017576096,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
216,False,"{'a': 0.4, 'e': 0.8269268423139849}",25,0,-80.7409816027373,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
217,False,"{'a': 0.4, 'e': 0.8260516766767555}",20,0,-141.70499458424607,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
218,False,"{'a': 0.4, 'e': 0.8251757444536949}",30,0,-48.163404833555525,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
219,False,"{'a': 0.4, 'e': 0.8242990443006712}",25,0,-31.87993701112241,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
220,False,"{'a': 0.4, 'e': 0.8234215748700141}",30,0,-322.2589246086293,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 6}",0
221,False,"{'a': 0.4, 'e': 0.8225433348105025}",20,0,-49.49784522998864,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
222,False,"{'a': 0.4, 'e': 0.821664322767352}",20,0,-140.9298127030546,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
223,False,"{'a': 0.4, 'e': 0.8207845373822028}",20,0,-163.34157074515457,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
224,False,"{'a': 0.4, 'e': 0.8199039772931065}",20,0,-103.7748085851138,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
225,False,"{'a': 0.4, 'e': 0.8190226411345136}",25,0,-83.09830244867156,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
226,False,"{'a': 0.4, 'e': 0.8181405275372612}",25,0,-187.87881422225362,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
227,False,"{'a': 0.4, 'e': 0.8172576351285595}",20,2,3.8705237307212825,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
228,False,"{'a': 0.4, 'e': 0.8163739625319799}",30,0,-178.11582946082936,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
229,False,"{'a': 0.4, 'e': 0.8154895083674413}",20,0,-49.32985127328784,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
230,False,"{'a': 0.4, 'e': 0.8146042712511974}",20,10,-47.68369770108637,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
231,False,"{'a': 0.4, 'e': 0.8137182497958242}",25,11,-43.05082425549634,"{0: 9, 1: 3, 2: 0, 3: 2, 4: 0}",1
232,False,"{'a': 0.4, 'e': 0.8128314426102063}",20,0,-20.38381091474195,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
233,False,"{'a': 0.4, 'e': 0.8119438482995242}",20,0,-161.39607227100353,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
234,False,"{'a': 0.4, 'e': 0.8110554654652408}",20,0,-117.2189210924121,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
235,False,"{'a': 0.4, 'e': 0.8101662927050887}",25,0,-97.1993210377978,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
